ds,yhat,yhat_lower,yhat_upper
2016-10-01,93.62853236981859,78.22769499363612,108.59616741297118
2016-10-02,84.49741326865954,69.30640164605698,101.71448586136222
2016-10-03,83.27794065937499,67.29877779282937,98.42840103547518
2016-10-04,79.76316824963114,64.83065006973983,95.44198704072247
2016-10-05,79.77917904470208,63.34976350314957,94.06974434728025
2016-10-06,78.96087331065672,63.09773641551037,94.34950848877992
2016-10-07,85.70188420076,69.61094550700389,101.18881941302267
2016-10-08,84.80465639411126,69.82126093481725,98.83205875991284
2016-10-09,75.43526692784967,59.7205204750333,91.37682794550967
2016-10-10,74.0332957265073,57.45652436598329,89.46484079924042
2016-10-11,70.39902773894761,54.987007281867164,85.28320782970721
2016-10-12,70.36387134370392,54.74558573500387,84.91949363747496
2016-10-13,69.56611243451184,54.65063747795697,86.23759653695531
2016-10-14,76.40084324084873,61.93824892652129,91.1438192124388
2016-10-15,75.67009831031743,60.321760268514026,92.86234763544105
2016-10-16,66.5377729571459,52.52884133040185,83.1287573417631
2016-10-17,65.43962700972565,50.578508174387316,81.71871765822752
2016-10-18,62.17065047907661,46.91267798433786,78.37123738905667
2016-10-19,62.55567008402392,46.30805335805495,78.76424272948981
2016-10-20,62.22531007228883,48.260069490052224,79.12158593759614
2016-10-21,69.5661403522202,54.367504538237725,84.93245070808331
2016-10-22,69.37103842934712,54.45685185813808,83.63247692398232
2016-10-23,60.79433478564408,44.83700152974504,76.95177494574654
2016-10-24,60.262039276509526,45.207030849592144,75.64933894744651
2016-10-25,57.559420435552894,41.93531365894315,74.11382363904812
2016-10-26,58.50181251074739,42.751606694364376,73.9419622686054
2016-10-27,58.710760256446875,43.13362594921213,73.95732234167247
2016-10-28,66.56433179969767,50.380261332398106,81.91751874285767
2016-10-29,66.84762413155606,50.48758230373951,81.95843763757767
2016-10-30,58.70802964668079,43.88578692172259,73.3694028988934
2016-10-31,58.56556078549683,43.24656856946875,74.41654783320263
2016-11-01,56.20050478634412,41.07599266941529,72.19390169293342
2016-11-02,57.42428405218715,42.204492074389805,72.58596390645917
2016-11-03,57.855633298832416,42.990279228504306,73.99169887178768
2016-11-04,65.87092532933318,49.74515257896532,81.45230532333866
2016-11-05,66.25467176722792,49.97005184162455,81.48719131877323
2016-11-06,58.15476911566136,42.67318979087732,73.42673705068616
2016-11-07,57.992789196646044,42.52139275217158,73.20930284214138
2016-11-08,55.55158793784062,40.779842685736796,72.58531069276984
2016-11-09,56.6461098468957,41.00210401930714,71.52788081655929
2016-11-10,56.89950098338221,42.01306876740234,72.08757170128172
2016-11-11,64.69336366818223,49.55226975702453,79.72943090722809
2016-11-12,64.81818037734288,49.59389271310156,81.00570349553412
2016-11-13,56.42847800546265,41.887184453069274,72.80451708620758
2016-11-14,55.95303207910067,40.02902873369365,71.67613944903422
2016-11-15,53.18238514419982,37.39477175396911,67.48233139567492
2016-11-16,53.93955669768782,38.20624425586056,69.91891462019585
2016-11-17,53.85605732925734,38.955451928156506,69.65125653831034
2016-11-18,61.32204006563136,45.98444573534146,77.56029850514034
2016-11-19,61.146462001280725,46.18600088942947,75.65961324400295
2016-11-20,52.48259761368078,36.55435729545966,68.97653263022421
2016-11-21,51.76766238790975,37.13423420188968,67.17673353143596
2016-11-22,48.80036197521362,33.23630670223606,62.980396736233146
2016-11-23,49.411474239856545,33.838906960902555,64.88410865710833
2016-11-24,49.23973171678184,33.396481025571866,65.21706807522679
2016-11-25,56.68183863904227,41.54783756663302,72.12572148717821
2016-11-26,56.54265129960369,40.25318761295669,70.55105997263665
2016-11-27,47.99009474103152,32.78226892937817,63.43724175356664
2016-11-28,47.465117724293314,33.277479806811115,63.02823180934066
2016-11-29,44.76896317934657,28.908543797896762,60.345733020840555
2016-11-30,45.73363511279288,30.74980723019555,62.18494017425421
2016-12-01,45.99767885370301,30.998987395871684,61.555366299521786
2016-12-02,53.95611240802292,37.81693025128565,70.46666274881238
2016-12-03,54.41054135021429,38.81344646780665,70.15478525146187
2016-12-04,46.52403383789869,30.917151197567446,63.09640653843511
2016-12-05,46.73106108564481,30.920366946655392,62.46828749875337
