ds,y
2016-04-02,73.41190476190476
2016-04-03,76.17208333333333
2016-04-04,66.8183950617284
2016-04-05,59.02897435897436
2016-04-06,59.717999999999996
2016-04-07,62.85000000000001
2016-04-08,59.873000000000005
2016-04-09,53.38945454545455
2016-04-10,64.37225
2016-04-11,55.47760869565218
2016-04-12,62.196363636363635
2016-04-13,68.935
2016-04-14,68.36205882352941
2016-04-15,68.33
2016-04-16,69.01563636363636
2016-04-17,66.5476
2016-04-18,66.574
2016-04-19,62.51
2016-04-20,62.08435897435897
2016-04-21,65.315
2016-04-22,82.61651515151515
2016-04-23,82.74695652173914
2016-04-24,70.57655172413793
2016-04-25,68.58142857142857
2016-04-26,59.92962962962962
2016-04-27,70.98803921568627
2016-04-28,67.07555555555555
2016-04-29,64.5348076923077
2016-04-30,77.48276595744682
2016-05-01,66.6092
2016-05-02,74.28794871794872
2016-05-03,61.89518518518519
2016-05-04,75.57052631578946
2016-05-05,57.49520833333333
2016-05-06,67.697
2016-05-07,72.6464
2016-05-08,67.6
2016-05-09,61.09861111111112
2016-05-10,64.9435294117647
2016-05-11,73.22441176470589
2016-05-12,58.98172413793103
2016-05-13,75.84210526315789
2016-05-14,78.13037037037037
2016-05-15,72.8851851851852
2016-05-16,72.29506329113924
2016-05-17,56.33
2016-05-18,69.24432432432432
2016-05-19,71.31786885245903
2016-05-20,87.89173913043479
2016-05-21,81.5283870967742
2016-05-22,70.36399999999999
2016-05-23,68.72275862068966
2016-05-24,65.48282051282051
2016-05-25,74.85105263157895
2016-05-26,71.26466666666667
2016-05-27,77.89
2016-05-28,85.05967741935484
2016-05-29,81.86071428571428
2016-05-30,78.14265625
2016-05-31,81.67638297872341
2016-06-01,86.67444444444445
2016-06-02,85.97163265306122
2016-06-03,102.0703125
2016-06-04,93.459
2016-06-05,100.06107142857142
2016-06-06,95.54684210526317
2016-06-07,103.715
2016-06-08,94.33684210526316
2016-06-09,98.7846875
2016-06-10,128.004
2016-06-11,91.93725
2016-06-12,113.93658536585365
2016-06-13,93.83179487179487
2016-06-14,75.78105263157894
2016-06-15,95.07212121212122
2016-06-16,115.01555555555557
2016-06-17,104.21594594594595
2016-06-18,93.19783783783784
2016-06-19,90.79347826086956
2016-06-20,89.30142857142857
2016-06-21,91.90869565217392
2016-06-22,91.27380952380952
2016-06-23,81.54457142857143
2016-06-24,88.24375
2016-06-25,130.67354166666667
2016-06-26,101.23525
2016-06-27,102.23208333333334
2016-06-28,86.57344827586208
2016-06-29,84.96142857142857
2016-06-30,112.90767441860464
2016-07-01,113.39263157894737
2016-07-02,110.14611111111111
2016-07-03,122.63636363636364
2016-07-04,120.15295454545453
2016-07-05,137.04125
2016-07-06,130.84894736842105
2016-07-07,133.59192307692308
2016-07-08,147.9084
2016-07-09,130.69264705882352
2016-07-10,121.93959999999998
2016-07-11,144.163
2016-07-12,123.70814814814814
2016-07-13,155.82833333333332
2016-07-14,154.7365625
2016-07-15,171.49026315789473
2016-07-16,150.73342105263157
2016-07-17,189.733125
2016-07-18,166.85666666666665
2016-07-19,154.7071875
2016-07-20,138.63758620689654
2016-07-21,157.64815789473684
2016-07-22,163.64137931034483
2016-07-23,174.495
2016-07-24,155.99882352941177
2016-07-25,163.63121951219512
2016-07-26,173.32
2016-07-27,168.2412
2016-07-28,183.06483870967742
